Sample ID,FDL_L,FMSB_L,FDB_L,FDL_R,FMSB_R,FDB_R,TDL_L,TPB_L,TMSB_L,TDB_L,TDL_R,TPB_R,TMSB_R,TDB_R,FBDL_L,FBDL_R,HDL_L,HPB_L,HMSB_L,HDB_L,HDL_R,HPB_R,HMSB_R,HDB_R,RDL_L,RPB_L,RMSB_L,RDB_L,RDL_R,RPB_R,RMSB_R,RDB_R,UDL_L,UMSB_L,UDL_R,UMSB_R,Wt (kg),Age
53,417.46,22.36,78.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7,15.64
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.34,11.4,9.85,20.22,NA,NA,NA,NA,NA,NA,NA,NA,24.7,8.7
55,311.51,17.14,67.04,308.75,16.21,66.98,268.8,56.91,15.55,36.68,261.5,56.47,16.3,38.9,264.63,266.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.25,7.73
56,NA,NA,54.34,NA,NA,NA,NA,NA,NA,NA,266.92,54.05,21.39,39.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,8.82
57,NA,NA,NA,NA,NA,67.79,NA,NA,NA,NA,305.77,62.79,22.63,44.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,10.77
58,254.16,14.96,56.1,245.62,16.82,55.75,NA,43.61,NA,NA,NA,44.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7,5.01
59,NA,NA,NA,NA,NA,NA,115.72,31.64,10.69,22.17,NA,NA,NA,NA,113.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.96
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.74,22.03,14.2,25.91,NA,NA,228.77,14.04,NA,15.26
61,NA,NA,56.62,NA,NA,56.14,237.34,47.62,16.58,33.22,238,48.25,16.69,32.96,233.29,234.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,7.11
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.85,11.81,9.91,17.96,NA,NA,139.22,9.97,18,4.54
63,60.71,7.37,20.39,60.68,8.23,22.01,54.43,15.49,5.64,10.86,54.13,16.71,5.37,11.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,0.22
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.02,NA,NA,NA,NA,135.22,13.58,9.82,18.92,NA,NA,NA,NA,15.9,6.56
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.46,NA,NA,NA,NA,117.98,10.9,9.26,17.79,NA,NA,NA,NA,128.07,9.13,NA,NA,15,3.55
